Nome do Banco;CNPJ;Classificação do Banco;Quantidade de Clientes do Bancos;Índice de reclamações;Quantidade de reclamações;Índice de satisfação dos funcionários dos bancos;Índice de satisfação com salários dos funcionários dos bancos;ano_tri
A COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS EMPREGADOS DA MERCK SHARP & DOHME FARMAC�UTICA ? COOPERMSD;2814832;S5;;0.0;;0.0;0.0;
ABC-BRASIL;28195667;S3;26230;;9.0;0.0;0.0;202101
ABC-BRASIL;28195667;S3;28022;;2.0;0.0;0.0;202102
ABC-BRASIL;28195667;S3;29707;;4.0;0.0;0.0;202103
ABC-BRASIL;28195667;S3;33095;;5.0;0.0;0.0;202104
ABC-BRASIL;28195667;S3;38792;;8.0;0.0;0.0;202201
ABC-BRASIL;28195667;S3;50720;;14.0;0.0;0.0;202203
ABC-BRASIL;28195667;S3;55693;;17.0;0.0;0.0;202204
ACCESSCR�DITO SCMEPP;13058743;S5;;0.0;;0.0;0.0;
ADVALOR DTVM LTDA;33824012;S4;;0.0;;0.0;0.0;
ADVANCED CC LTDA;92856905;S4;;0.0;;0.0;0.0;
AF DESENVOLVE SP S.A.;10663610;S4;;0.0;;0.0;0.0;
AF DO ESTADO DE SC S.A.;82937293;S4;;0.0;;0.0;0.0;
AF ESTADO DE PERNAMBUCO S.A.;13178690;S4;;0.0;;0.0;0.0;
AF PARAN�;3584906;S4;;0.0;;0.0;0.0;
AFAL S.A.;10769660;S4;;0.0;;0.0;0.0;
AFEAM;3183937;S4;;0.0;;0.0;0.0;
AG. FOMENTO AMAPA S.A.;2929977;S4;;0.0;;0.0;0.0;
AG. FOMENTO ESTADO DE RORAIMA;3058464;S4;;0.0;;0.0;0.0;
AG. FOMENTO ESTADO DO TOCANTINS;5474540;S4;;0.0;;0.0;0.0;
AGENCIA DE FOMENTO DO RN S.A.;3848103;S4;;0.0;;0.0;0.0;
AGENCIA FOMENTO EST RJ S.A.;5940203;S4;;0.0;;0.0;0.0;
AGENCIA FOMENTO GOIAS;3918382;S4;;0.0;;0.0;0.0;
AGIPLAN FINANCEIRA S.A. - CFI;10664513;S4;;0.0;;0.0;0.0;
AGK CC S.A.;250699;S4;;0.0;;0.0;0.0;
AGORACRED S/A SCFI;36321990;S4;420692;;6.0;0.0;0.0;202101
AGORACRED S/A SCFI;36321990;S4;433738;;7.0;0.0;0.0;202102
AGORACRED S/A SCFI;36321990;S4;453405;;6.0;0.0;0.0;202103
AGORACRED S/A SCFI;36321990;S4;473823;;5.0;0.0;0.0;202104
AGORACRED S/A SCFI;36321990;S4;497481;;5.0;0.0;0.0;202201
AGORACRED S/A SCFI;36321990;S4;534795;;10.0;0.0;0.0;202203
AGORACRED S/A SCFI;36321990;S4;549291;;8.0;0.0;0.0;202204
AG�NCIA DE FOMENTO MATO GROSSO;6284531;S4;;0.0;;0.0;0.0;
AKRO DTVM S.A.;2678955;S4;;0.0;;0.0;0.0;
ALBATROSS CCV S.A;5452073;S4;;0.0;;0.0;0.0;
ALFA;60770336;S3;412135;;73.0;3.5;3.8;202101
ALFA;60770336;S3;416540;;67.0;3.5;3.8;202102
ALFA;60770336;S3;420486;;85.0;3.5;3.8;202103
ALFA;60770336;S3;422572;;82.0;3.5;3.8;202104
ALFA;60770336;S3;418830;;57.0;3.5;3.8;202201
ALFA;60770336;S3;436746;;80.0;3.5;3.8;202203
ALFA;60770336;S3;439630;;36.0;3.5;3.8;202204
ALPES CCTVM LTDA;3882245;S4;;0.0;;0.0;0.0;
AMARIL FRANKLIN CTV LTDA;17312661;S4;;0.0;;0.0;0.0;
AMAZ�NIA CC LTDA.;16927221;S4;;0.0;;0.0;0.0;
ANDBANK;48795256;S4;4383;;3.0;0.0;0.0;202101
ANDBANK;48795256;S4;4320;;5.0;0.0;0.0;202102
ANDBANK;48795256;S4;4369;;6.0;0.0;0.0;202103
ANDBANK;48795256;S4;4376;;4.0;0.0;0.0;202104
ANDBANK;48795256;S4;4374;;1.0;0.0;0.0;202201
ANDBANK;48795256;S4;4302;;4.0;0.0;0.0;202203
ANDBANK;48795256;S4;31197;;5.0;0.0;0.0;202204
APE POUPEX;655522;S3;;0.0;;3.2;2.7;
APEAL CREDITO IMOBILIARIO S/A;12719654;S4;;0.0;;0.0;0.0;
ARC CORRETORA CAMBIO S.A.;4684647;S4;;0.0;;0.0;0.0;
ATIVA S.A. INVESTIMENTOS CCTVM;33775974;S4;;0.0;;0.0;0.0;
ATLANTA SCM LTDA;4772908;S5;;0.0;;0.0;0.0;
ATRIA S.A. - CFI;5956581;S4;;0.0;;0.0;0.0;
AVIPAM CC LTDA.;3443143;S4;;0.0;;0.0;0.0;
AVISTA S.A. CFI;23862762;S4;1548186;;48.0;0.0;0.0;202101
AVISTA S.A. CFI;23862762;S4;1722341;;71.0;0.0;0.0;202102
AVISTA S.A. CFI;23862762;S4;1842985;;111.0;0.0;0.0;202103
AVISTA S.A. CFI;23862762;S4;2062720;;94.0;0.0;0.0;202104
AVISTA S.A. CFI;23862762;S4;2452408;;80.0;0.0;0.0;202201
AVS CC LTDA.;25280945;S4;;0.0;;0.0;0.0;
B & T ASSOCIADOS CC LTDA.;73622748;S4;;0.0;;0.0;0.0;
BADESUL DESENVOLVIMENTO AF/RS;2885855;S4;;0.0;;0.0;0.0;
BALUARTE SA CC;61688131;S4;;0.0;;0.0;0.0;
BANCO A.J. RENNER S.A.;92874270;S4;295260;;233.0;0.0;0.0;202101
BANCO A.J. RENNER S.A.;92874270;S4;372393;;128.0;0.0;0.0;202102
BANCO A.J. RENNER S.A.;92874270;S4;393906;;164.0;0.0;0.0;202103
BANCO A.J. RENNER S.A.;92874270;S4;454034;;286.0;0.0;0.0;202104
BANCO A.J. RENNER S.A.;92874270;S4;329820;;309.0;0.0;0.0;202201
BANCO A.J. RENNER S.A.;92874270;S4;310734;;196.0;0.0;0.0;202203
BANCO A.J. RENNER S.A.;92874270;S4;328722;;141.0;0.0;0.0;202204
BANCO ABN AMRO S.A.;3532415;S4;98;;3.0;0.0;0.0;202101
BANCO ABN AMRO S.A.;3532415;S4;76;;1.0;0.0;0.0;202102
BANCO ABN AMRO S.A.;3532415;S4;41;;1.0;0.0;0.0;202103
BANCO ABN AMRO S.A.;3532415;S4;26;;2.0;0.0;0.0;202104
BANCO ARBI S.A.;54403563;S4;18087;;1.0;0.0;0.0;202101
BANCO ARBI S.A.;54403563;S4;19525;;11.0;0.0;0.0;202102
BANCO ARBI S.A.;54403563;S4;28673;;11.0;0.0;0.0;202103
BANCO ARBI S.A.;54403563;S4;38372;;24.0;0.0;0.0;202104
BANCO ARBI S.A.;54403563;S4;48842;;20.0;0.0;0.0;202201
BANCO ARBI S.A.;54403563;S4;84526;;22.0;0.0;0.0;202203
BANCO ARBI S.A.;54403563;S4;89501;;15.0;0.0;0.0;202204
BANCO BM&FBOVESPA;997185;S4;;0.0;;0.0;0.0;
BANCO CAPITAL S.A.;15173776;S4;1354;;1.0;0.0;0.0;202102
BANCO CAPITAL S.A.;15173776;S4;1346;;15.0;0.0;0.0;202201
BANCO CAPITAL S.A.;15173776;S4;1321;;19.0;0.0;0.0;202203
BANCO CAPITAL S.A.;15173776;S4;1258;;9.0;0.0;0.0;202204
BANCO CARGILL S.A.;3609817;S4;;0.0;;0.0;0.0;
BANCO CATERPILLAR S.A.;2658435;S4;3325;;1.0;0.0;0.0;202203
BANCO CEDULA S.A.;33132044;S4;18022;;1.0;0.0;0.0;202103
BANCO CEDULA S.A.;33132044;S4;18016;;2.0;0.0;0.0;202104
BANCO CEDULA S.A.;33132044;S4;18016;;2.0;0.0;0.0;202201
BANCO CEDULA S.A.;33132044;S4;18010;;2.0;0.0;0.0;202203
BANCO CLASSICO S.A.;31597552;S3;;0.0;;0.0;0.0;
BANCO CNH INDUSTRIAL CAPITAL S.A;2992446;S3;;0.0;;0.0;0.0;
BANCO CSF S.A.;8357240;S3;7322283;;310.0;0.0;0.0;202101
BANCO CSF S.A.;8357240;S3;7297674;;358.0;0.0;0.0;202102
BANCO CSF S.A.;8357240;S3;7425297;;259.0;0.0;0.0;202103
BANCO CSF S.A.;8357240;S3;7348002;;261.0;0.0;0.0;202104
BANCO CSF S.A.;8357240;S3;7437471;;206.0;0.0;0.0;202201
BANCO CSF S.A.;8357240;S3;7707988;;192.0;0.0;0.0;202203
BANCO CSF S.A.;8357240;S3;8070375;;165.0;0.0;0.0;202204
BANCO DA AMAZONIA S.A.;4902979;S3;540684;;12.0;0.0;0.0;202101
BANCO DA AMAZONIA S.A.;4902979;S3;548402;;20.0;0.0;0.0;202102
BANCO DA AMAZONIA S.A.;4902979;S3;551874;;14.0;0.0;0.0;202103
BANCO DA AMAZONIA S.A.;4902979;S3;556710;;8.0;0.0;0.0;202104
BANCO DA AMAZONIA S.A.;4902979;S3;563256;;11.0;0.0;0.0;202201
BANCO DA AMAZONIA S.A.;4902979;S3;507169;;23.0;0.0;0.0;202203
BANCO DA AMAZONIA S.A.;4902979;S3;587752;;9.0;0.0;0.0;202204
BANCO DA CHINA BRASIL S.A.;10690848;S4;469;;1.0;0.0;0.0;202101
BANCO DA CHINA BRASIL S.A.;10690848;S4;481;;1.0;0.0;0.0;202103
BANCO DA CHINA BRASIL S.A.;10690848;S4;528;;1.0;0.0;0.0;202104
BANCO DAYCOVAL S.A;62232889;S3;;0.0;;4.0;4.1;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;S4;36713;;1.0;0.0;0.0;202101
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;S4;36294;;1.0;0.0;0.0;202102
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;S4;34810;;1.0;0.0;0.0;202104
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;S4;35292;;1.0;0.0;0.0;202203
BANCO DES. DE MG S.A.;38486817;S3;;0.0;;0.0;0.0;
BANCO DES. DO ES S.A.;28145829;S4;;0.0;;0.0;0.0;
BANCO DO BRASIL;0;S1;;0.0;;4.3;4.2;
BANCO DO BRASIL S/A;0;S1;;0.0;;0.0;0.0;
BANCO DO EST. DE SE S.A.;13009717;S4;1066464;;45.0;0.0;0.0;202101
BANCO DO EST. DE SE S.A.;13009717;S4;1074923;;52.0;0.0;0.0;202102
BANCO DO EST. DE SE S.A.;13009717;S4;1082245;;50.0;0.0;0.0;202103
BANCO DO EST. DE SE S.A.;13009717;S4;1094338;;78.0;0.0;0.0;202104
BANCO DO EST. DE SE S.A.;13009717;S4;1106905;;56.0;0.0;0.0;202201
BANCO DO EST. DE SE S.A.;13009717;S4;844129;;216.0;0.0;0.0;202203
BANCO DO EST. DE SE S.A.;13009717;S4;1128708;;74.0;0.0;0.0;202204
BANCO DO EST. DO PA S.A.;4913711;S4;;0.0;;0.0;0.0;
BANCO DO ESTADO DO RIO GRANDE DO SUL SA;92702067;S2;;0.0;;0.0;0.0;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;S2;8512373;;47.0;4.5;4.2;202101
BANCO DO NORDESTE DO BRASIL S.A.;7237373;S2;8679633;;80.0;4.5;4.2;202102
